Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,6,307.628,0,F,1,1,1738,0,0,21.8535,0,1,1,0,0,0,1,1,0,0,0,0,5270,0,1,81.9373,0,1,1,0,0,0,1,1,0,0,0,0
2,6,22.5271,0,F,1,1,2382,1,0,21.7761,0,1,1,0,0,0,1,1,0,0,0,0,5402,0,1,71.4079,0,1,1,0,0,0,1,1,0,0,0,0
3,6,313.68,0,F,1,1,3695,0,0,71.1383,0,1,1,0,0,0,1,1,0,0,0,0,2034,1,1,25.8881,0,1,1,0,0,0,1,1,0,0,0,0
4,6,176.273,0,F,1,1,5412,0,0,63.6202,0,1,1,0,0,0,1,1,0,0,0,0,2844,1,1,15.6789,0,1,1,0,0,0,1,1,0,0,0,0
5,6,290.106,0,F,1,1,5794,0,0,31.0028,0,1,1,0,0,0,1,1,0,0,0,0,7887,0,1,63.3883,0,1,1,0,0,0,1,1,0,0,0,0
6,6,377.775,0,F,1,1,6199,0,0,27.3011,0,1,1,0,0,0,1,1,0,0,0,0,11028,0,1,58.2072,0,1,1,0,0,0,1,1,0,0,0,0
7,6,298.031,0,F,1,1,7790,0,0,43.2197,0,1,1,0,0,0,1,1,0,0,0,0,13754,0,1,59.9145,0,1,1,0,0,0,1,1,0,0,0,0
8,6,756.892,0,F,1,1,8893,0,0,55.9845,0,1,1,0,0,0,1,1,0,0,0,0,8205,0,1,29.4143,0,1,1,0,0,0,1,1,0,0,0,0
9,6,1727.87,0,F,1,1,9062,0,0,29.1405,0,1,1,0,0,0,1,1,0,0,0,0,15370,0,1,51.0579,0,1,1,0,0,0,1,1,0,0,0,0
10,6,172.702,0,F,1,1,10268,0,0,54.547,0,1,1,0,0,0,1,1,0,0,0,0,13346,1,1,34.3668,0,1,1,0,0,0,1,1,0,0,0,0
11,6,246.855,0,F,1,1,11942,0,0,75.2721,0,1,1,0,0,0,1,1,0,0,0,0,13494,0,1,21.2662,0,1,1,0,0,0,1,1,0,0,0,0
12,6,109.38,0,F,1,1,12326,0,0,51.1619,0,1,1,0,0,0,1,1,0,0,0,0,16580,0,1,41.7727,0,1,1,0,0,0,1,1,0,0,0,0
13,6,538.268,0,F,1,1,12517,0,0,22.607,0,1,1,0,0,0,1,1,0,0,0,0,2605,0,1,50.8479,0,1,1,0,0,0,1,1,0,0,0,0
14,6,834.6,0,F,1,1,12790,0,0,23.3382,0,1,1,0,0,0,1,1,0,0,0,0,3870,0,1,57.6087,0,1,1,0,0,0,1,1,0,0,0,0
15,6,241.363,0,F,1,1,14446,0,0,53.9755,0,1,1,0,0,0,1,1,0,0,0,0,1379,0,1,17.0911,0,1,1,0,0,0,1,1,0,0,0,0
16,6,281.47,0,F,1,1,1408,0,0,67.3846,0,1,1,0,0,0,1,1,0,0,0,0,6363,0,1,21.4162,0,1,1,0,0,0,1,1,0,0,0,0
17,6,127.945,0,F,1,1,2793,0,0,52.0946,0,1,1,0,0,0,1,1,0,0,0,0,6995,1,1,26.5268,0,1,1,0,0,0,1,1,0,0,0,0
18,6,150.825,0,F,1,1,7913,0,0,53.6017,0,1,1,0,0,0,1,1,0,0,0,0,10492,0,1,22.5093,0,1,1,0,0,0,1,1,0,0,0,0
19,6,305.886,0,F,1,1,9043,0,0,62.4014,0,1,1,0,0,0,1,1,0,0,0,0,11348,0,1,32.8483,0,1,1,0,0,0,1,1,0,0,0,0
20,6,430.229,0,F,1,1,9232,0,0,52.2806,0,1,1,0,0,0,1,1,0,0,0,0,16132,0,1,24.9777,0,1,1,0,0,0,1,1,0,0,0,0
21,6,88.5676,0,F,1,1,10063,0,0,19.0276,0,1,1,0,0,0,1,1,0,0,0,0,5724,0,1,53.18,0,1,1,0,0,0,1,1,0,0,0,0
22,6,140.582,0,F,1,1,13952,0,0,58.0325,0,1,1,0,0,0,1,1,0,0,0,0,1639,0,1,18.5215,0,1,1,0,0,0,1,1,0,0,0,0
23,6,583.08,0,F,1,1,13999,1,0,30.0282,0,1,1,0,0,0,1,1,0,0,0,0,6361,0,1,54.5035,0,1,1,0,0,0,1,1,0,0,0,0
24,6,514.031,0,F,1,1,15304,1,0,23.7084,0,1,1,0,0,0,1,1,0,0,0,0,7029,0,1,67.4487,0,1,1,0,0,0,1,1,0,0,0,0
25,6,252.42,0,F,1,1,3740,0,0,63.775,0,1,1,0,0,0,1,1,0,0,0,0,2661,0,1,14.5555,0,1,1,0,0,0,1,1,0,0,0,0
26,6,1198.91,0,F,1,1,4652,0,0,67.143,0,1,1,0,0,0,1,1,0,0,0,0,2691,1,1,18.7677,0,1,1,0,0,0,1,1,0,0,0,0
27,6,34.7565,0,F,1,1,5029,0,0,56.9091,0,1,1,0,0,0,1,1,0,0,0,0,4284,1,1,23.1042,0,1,1,0,0,0,1,1,0,0,0,0
28,6,1291.4,0,F,1,1,5516,1,0,17.2553,0,1,1,0,0,0,1,1,0,0,0,0,11772,0,1,80.2091,0,1,1,0,0,0,1,1,0,0,0,0
29,6,115.13,0,F,1,1,7189,0,0,50.3335,0,1,1,0,0,0,1,1,0,0,0,0,5625,0,1,17.8593,0,1,1,0,0,0,1,1,0,0,0,0
30,6,121.284,0,F,1,1,9426,0,0,65.4817,0,1,1,0,0,0,1,1,0,0,0,0,11400,0,1,37.6511,0,1,1,0,0,0,1,1,0,0,0,0
31,6,601.036,0,F,1,1,10610,0,0,28.1228,0,1,1,0,0,0,1,1,0,0,0,0,14465,0,1,56.3092,0,1,1,0,0,0,1,1,0,0,0,0
32,6,52.5064,0,F,1,1,11041,0,0,51.8909,0,1,1,0,0,0,1,1,0,0,0,0,12751,0,1,30.6965,0,1,1,0,0,0,1,1,0,0,0,0
33,6,497.435,0,F,1,1,11395,0,0,56.9703,0,1,1,0,0,0,1,1,0,0,0,0,12888,0,1,37.1834,0,1,1,0,0,0,1,1,0,0,0,0
34,6,150.051,0,F,1,1,12148,0,0,51.813,0,1,1,0,0,0,1,1,0,0,0,0,2313,0,1,16.6604,0,1,1,0,0,0,1,1,0,0,0,0
35,6,260.815,0,F,1,1,15465,0,0,54.4957,0,1,1,0,0,0,1,1,0,0,0,0,3582,0,1,17.9711,0,1,1,0,0,0,1,1,0,0,0,0
36,6,36.0399,0,F,1,1,589,0,0,64.5262,0,1,1,0,0,0,1,1,0,0,0,0,8058,0,1,33.3379,0,1,1,0,0,0,1,1,0,0,0,0
37,6,230.557,0,F,1,1,627,0,0,40.3795,0,1,1,0,0,0,1,1,0,0,0,0,1754,0,1,71.8986,0,1,1,0,0,0,1,1,0,0,0,0
38,6,263.697,0,F,1,1,2152,0,0,18.9225,0,1,1,0,0,0,1,1,0,0,0,0,5336,0,1,61.1055,0,1,1,0,0,0,1,1,0,0,0,0
39,6,565.584,0,F,1,1,2843,0,0,43.3063,0,1,1,0,0,0,1,1,0,0,0,0,7895,0,1,54.5136,0,1,1,0,0,0,1,1,0,0,0,0
40,6,351.836,0,F,1,1,5866,1,0,20.3786,0,1,1,0,0,0,1,1,0,0,0,0,8733,0,1,79.1937,0,1,1,0,0,0,1,1,0,0,0,0
41,6,762.688,0,F,1,1,10727,0,0,46.063,0,1,1,0,0,0,1,1,0,0,0,0,8776,0,1,54.5303,0,1,1,0,0,0,1,1,0,0,0,0
42,6,576.245,0,F,1,1,11347,1,0,19.7292,0,1,1,0,0,0,1,1,0,0,0,0,9787,0,1,69.6103,0,1,1,0,0,0,1,1,0,0,0,0
43,6,231.185,0,F,1,1,11743,0,0,55.6505,0,1,1,0,0,0,1,1,0,0,0,0,11229,0,1,38.4651,0,1,1,0,0,0,1,1,0,0,0,0
44,6,352.748,0,F,1,1,12420,0,0,70.8454,0,1,1,0,0,0,1,1,0,0,0,0,13418,0,1,36.8554,0,1,1,0,0,0,1,1,0,0,0,0
45,6,99.1196,0,F,1,1,12689,0,0,51.0594,0,1,1,0,0,0,1,1,0,0,0,0,14226,0,1,23.1186,0,1,1,0,0,0,1,1,0,0,0,0
46,6,97.5917,0,F,1,1,12693,0,0,54.2162,0,1,1,0,0,0,1,1,0,0,0,0,2425,0,1,41.2097,0,1,1,0,0,0,1,1,0,0,0,0
47,6,364.15,0,F,1,1,14190,0,0,78.2819,0,1,1,0,0,0,1,1,0,0,0,0,4511,0,1,46.7235,0,1,1,0,0,0,1,1,0,0,0,0
48,6,107.122,0,F,1,1,14265,0,0,39.4268,0,1,1,0,0,0,1,1,0,0,0,0,10835,0,1,59.0896,0,1,1,0,0,0,1,1,0,0,0,0
49,6,328.951,0,F,1,1,14444,0,0,19.4719,0,1,1,0,0,0,1,1,0,0,0,0,12314,0,1,56.2286,0,1,1,0,0,0,1,1,0,0,0,0
50,6,188.803,0,F,1,1,14693,0,0,66.0259,0,1,1,0,0,0,1,1,0,0,0,0,6211,0,1,41.9763,0,1,1,0,0,0,1,1,0,0,0,0
51,6,27.4409,0,F,1,1,15561,0,0,59.0689,0,1,1,0,0,0,1,1,0,0,0,0,9845,0,1,13.8145,0,1,1,0,0,0,1,1,0,0,0,0
52,6,498.277,0,F,1,1,15996,0,0,50.3517,0,1,1,0,0,0,1,1,0,0,0,0,14019,0,1,41.305,0,1,1,0,0,0,1,1,0,0,0,0
53,6,19.313,0,F,1,1,16985,0,0,54.3112,0,1,1,0,0,0,1,1,0,0,0,0,15021,0,1,37.5593,0,1,1,0,0,0,1,1,0,0,0,0
54,6,1102.68,0,F,1,1,4342,0,0,21.4431,0,1,1,0,0,0,1,1,0,0,0,0,6,0,1,62.8435,0,1,1,0,0,0,1,1,0,0,0,0
55,6,104.466,0,F,1,1,4449,0,0,55.0606,0,1,1,0,0,0,1,1,0,0,0,0,3831,1,1,28.0607,0,1,1,0,0,0,1,1,0,0,0,0
56,6,857.631,0,F,1,1,5628,0,0,50.3641,0,1,1,0,0,0,1,1,0,0,0,0,8287,1,1,31.7279,0,1,1,0,0,0,1,1,0,0,0,0
57,6,222.098,0,F,1,1,7173,0,0,29.0769,0,1,1,0,0,0,1,1,0,0,0,0,4003,0,1,66.6393,0,1,1,0,0,0,1,1,0,0,0,0
58,6,207.46,0,F,1,1,8018,0,0,35.3692,0,1,1,0,0,0,1,1,0,0,0,0,7277,0,1,57.4148,0,1,1,0,0,0,1,1,0,0,0,0
59,6,285.815,0,F,1,1,8805,0,0,18.6773,0,1,1,0,0,0,1,1,0,0,0,0,8535,0,1,59.0142,0,1,1,0,0,0,1,1,0,0,0,0
60,6,310.228,0,F,1,1,9766,0,0,52.4015,0,1,1,0,0,0,1,1,0,0,0,0,8515,1,1,32.9584,0,1,1,0,0,0,1,1,0,0,0,0
61,6,421.445,0,F,1,1,10433,0,0,67.5433,0,1,1,0,0,0,1,1,0,0,0,0,429,0,1,22.4023,0,1,1,0,0,0,1,1,0,0,0,0
62,6,1184.04,0,F,1,1,11683,0,0,15.0954,0,1,1,0,0,0,1,1,0,0,0,0,10846,0,1,62.6283,0,1,1,0,0,0,1,1,0,0,0,0
63,6,460.28,0,F,1,1,12827,0,0,30.5989,0,1,1,0,0,0,1,1,0,0,0,0,12283,0,1,64.1272,0,1,1,0,0,0,1,1,0,0,0,0
64,6,313.457,0,F,1,1,17204,0,0,33.8064,0,1,1,0,0,0,1,1,0,0,0,0,12838,0,1,57.5697,0,1,1,0,0,0,1,1,0,0,0,0
65,6,617.02,0,F,1,1,1899,0,0,60.1576,0,1,1,0,0,0,1,1,0,0,0,0,7835,0,1,38.4112,0,1,1,0,0,0,1,1,0,0,0,0
66,6,372.813,0,F,1,1,3946,0,0,25.624,0,1,1,0,0,0,1,1,0,0,0,0,12950,0,1,76.4761,0,1,1,0,0,0,1,1,0,0,0,0
67,6,295.706,0,F,1,1,4749,0,0,42.6906,0,1,1,0,0,0,1,1,0,0,0,0,13699,0,1,57.0363,0,1,1,0,0,0,1,1,0,0,0,0
68,6,92.6631,0,F,1,1,5253,0,0,41.1758,0,1,1,0,0,0,1,1,0,0,0,0,13797,0,1,72.671,0,1,1,0,0,0,1,1,0,0,0,0
69,6,1054.18,0,F,1,1,5535,0,0,34.3508,0,1,1,0,0,0,1,1,0,0,0,0,16850,0,1,52.599,0,1,1,0,0,0,1,1,0,0,0,0
70,6,564.626,0,F,1,1,6032,0,0,48.8633,0,1,1,0,0,0,1,1,0,0,0,0,2734,0,1,76.8656,0,1,1,0,0,0,1,1,0,0,0,0
71,6,731.747,0,F,1,1,7037,0,0,71.9388,0,1,1,0,0,0,1,1,0,0,0,0,9408,0,1,41.9637,0,1,1,0,0,0,1,1,0,0,0,0
72,6,696.013,0,F,1,1,8779,0,0,21.391,0,1,1,0,0,0,1,1,0,0,0,0,4883,0,1,52.0803,0,1,1,0,0,0,1,1,0,0,0,0
73,6,63.9487,0,F,1,1,13798,0,0,50.3098,0,1,1,0,0,0,1,1,0,0,0,0,10487,0,1,20.2993,0,1,1,0,0,0,1,1,0,0,0,0
74,6,50.9248,0,F,1,1,13876,1,0,19.3115,0,1,1,0,0,0,1,1,0,0,0,0,5228,0,1,84.5441,0,1,1,0,0,0,1,1,0,0,0,0
75,6,495.275,0,F,1,1,14036,0,0,38.8176,0,1,1,0,0,0,1,1,0,0,0,0,6961,0,1,71.9237,0,1,1,0,0,0,1,1,0,0,0,0
76,6,277.696,0,F,1,1,15949,0,0,37.9561,0,1,1,0,0,0,1,1,0,0,0,0,11908,0,1,63.5366,0,1,1,0,0,0,1,1,0,0,0,0
77,6,1678.47,0,F,1,1,16836,0,0,44.3975,0,1,1,0,0,0,1,1,0,0,0,0,15917,0,1,74.6432,0,1,1,0,0,0,1,1,0,0,0,0
78,6,540.194,0,F,1,1,1159,1,0,24.7081,0,1,1,0,0,0,1,1,0,0,0,0,16971,0,1,54.8244,0,1,1,0,0,0,1,1,0,0,0,0
79,6,513.657,0,F,1,1,2715,0,0,88.3271,0,1,1,0,0,0,1,1,0,0,0,0,11232,0,1,41.3599,0,1,1,0,0,0,1,1,0,0,0,0
80,6,388.972,0,F,1,1,2828,0,0,45.106,0,1,1,0,0,0,1,1,0,0,0,0,7547,0,1,57.5661,0,1,1,0,0,0,1,1,0,0,0,0
81,6,457.355,0,F,1,1,4154,0,0,46.6743,0,1,1,0,0,0,1,1,0,0,0,0,7966,0,1,51.0645,0,1,1,0,0,0,1,1,0,0,0,0
82,6,226.197,0,F,1,1,4495,0,0,54.1125,0,1,1,0,0,0,1,1,0,0,0,0,11887,0,1,35.7726,0,1,1,0,0,0,1,1,0,0,0,0
83,6,162.811,0,F,1,1,5598,0,0,57.8386,0,1,1,0,0,0,1,1,0,0,0,0,13297,0,1,20.6351,0,1,1,0,0,0,1,1,0,0,0,0
84,6,205.09,0,F,1,1,6089,0,0,64.625,0,1,1,0,0,0,1,1,0,0,0,0,14924,0,1,24.487,0,1,1,0,0,0,1,1,0,0,0,0
85,6,9.26944,0,F,1,1,6824,0,0,18.7233,0,1,1,0,0,0,1,1,0,0,0,0,10159,0,1,58.6993,0,1,1,0,0,0,1,1,0,0,0,0
86,6,389.183,0,F,1,1,7076,0,0,16.7277,0,1,1,0,0,0,1,1,0,0,0,0,15326,0,1,68.25,0,1,1,0,0,0,1,1,0,0,0,0
87,6,92.4124,0,F,1,1,9000,0,0,27.7671,0,1,1,0,0,0,1,1,0,0,0,0,161,0,1,74.8492,0,1,1,0,0,0,1,1,0,0,0,0
88,6,324.627,0,F,1,1,11749,0,0,30.2613,0,1,1,0,0,0,1,1,0,0,0,0,256,0,1,76.8634,0,1,1,0,0,0,1,1,0,0,0,0
89,6,388.55,0,F,1,1,11967,1,0,22.9886,0,1,1,0,0,0,1,1,0,0,0,0,3253,0,1,54.6772,0,1,1,0,0,0,1,1,0,0,0,0
90,6,65.1775,0,F,1,1,15345,0,0,37.86,0,1,1,0,0,0,1,1,0,0,0,0,4158,0,1,53.3454,0,1,1,0,0,0,1,1,0,0,0,0
91,6,49.2344,0,F,1,1,15816,0,0,47.0193,0,1,1,0,0,0,1,1,0,0,0,0,13981,0,1,68.6497,0,1,1,0,0,0,1,1,0,0,0,0
92,6,232.678,0,F,1,1,15827,0,0,20.8011,0,1,1,0,0,0,1,1,0,0,0,0,16684,0,1,59.547,0,1,1,0,0,0,1,1,0,0,0,0
93,6,886.19,1,F,1,1,1584,0,0,78.0956,0,1,0,1,0,0,1,1,0,0,0,0,12288,1,1,24.4483,0,1,0,1,0,0,1,1,0,0,0,0
94,6,754.75,1,F,1,1,5517,0,0,18.4155,0,1,0,1,0,0,1,1,0,0,0,0,11467,0,1,54.7352,0,1,0,1,0,0,1,1,0,0,0,0
95,6,130.771,1,F,1,1,7915,0,0,56.4214,0,1,0,1,0,0,1,1,0,0,0,0,2840,0,1,67.4959,0,1,0,1,0,0,1,1,0,0,0,0
96,6,198.635,1,F,1,1,9094,0,0,67.0296,0,1,0,1,0,0,1,1,0,0,0,0,12599,0,1,23.0532,0,1,0,1,0,0,1,1,0,0,0,0
97,6,684.233,1,F,1,1,14023,0,0,57.4099,0,1,0,1,0,0,1,1,0,0,0,0,562,0,1,70.868,0,1,0,1,0,0,1,1,0,0,0,0
98,6,905.197,1,F,1,1,14336,0,0,63.0996,0,1,0,1,0,0,1,1,0,0,0,0,2594,0,1,84.4159,0,1,0,1,0,0,1,1,0,0,0,0
99,6,623.424,1,F,1,1,15236,0,0,42.0828,0,1,0,1,0,0,1,1,0,0,0,0,5166,0,1,73.5961,0,1,0,1,0,0,1,1,0,0,0,0
100,6,730.009,1,F,1,1,1486,0,0,26.5581,0,1,0,1,0,0,1,1,0,0,0,0,11866,0,1,61.9437,0,1,0,1,0,0,1,1,0,0,0,0
101,6,221.406,1,F,1,1,3059,0,0,66.2436,0,1,0,1,0,0,1,1,0,0,0,0,6095,0,1,18.7408,0,1,0,1,0,0,1,1,0,0,0,0
102,6,369.755,1,F,1,1,4515,0,0,46.4195,0,1,0,1,0,0,1,1,0,0,0,0,13021,0,1,85.1309,0,1,0,1,0,0,1,1,0,0,0,0
103,6,424.812,1,F,1,1,5991,0,0,28.7712,0,1,0,1,0,0,1,1,0,0,0,0,13503,0,1,42.2019,0,1,0,1,0,0,1,1,0,0,0,0
104,6,395.476,1,F,1,1,8734,0,0,38.3198,0,1,0,1,0,0,1,1,0,0,0,0,17321,0,1,53.6868,0,1,0,1,0,0,1,1,0,0,0,0
105,6,945.875,1,F,1,1,13590,0,0,23.0659,0,1,0,1,0,0,1,1,0,0,0,0,3283,0,1,52.3661,0,1,0,1,0,0,1,1,0,0,0,0
106,6,502.218,1,F,1,1,14434,0,0,79.8205,0,1,0,1,0,0,1,1,0,0,0,0,6497,0,1,23.6191,0,1,0,1,0,0,1,1,0,0,0,0
107,6,632.262,1,F,1,1,14879,0,0,20.4557,0,1,0,1,0,0,1,1,0,0,0,0,4062,0,1,42.989,0,1,0,1,0,0,1,1,0,0,0,0
108,6,655.985,1,F,1,1,14895,0,0,24.4704,0,1,0,1,0,0,1,1,0,0,0,0,16063,0,1,42.7646,0,1,0,1,0,0,1,1,0,0,0,0
109,6,349.747,1,F,1,1,15691,0,0,51.5533,0,1,0,1,0,0,1,1,0,0,0,0,14938,0,1,68.475,0,1,0,1,0,0,1,1,0,0,0,0
110,6,1069.56,1,F,1,1,16293,0,0,25.6408,0,1,0,1,0,0,1,1,0,0,0,0,5278,0,1,63.1294,0,1,0,1,0,0,1,1,0,0,0,0
111,6,347.924,1,F,1,1,1893,0,0,40.1746,0,1,0,1,0,0,1,1,0,0,0,0,14967,0,1,75.3559,0,1,0,1,0,0,1,1,0,0,0,0
112,6,1095.98,1,F,1,1,2736,0,0,20.3329,0,1,0,1,0,0,1,1,0,0,0,0,15999,0,1,44.2367,0,1,0,1,0,0,1,1,0,0,0,0
113,6,723.867,1,F,1,1,6502,0,0,75.0685,0,1,0,1,0,0,1,1,0,0,0,0,9209,0,1,15.8641,0,1,0,1,0,0,1,1,0,0,0,0
114,6,1087.75,1,F,1,1,6511,0,0,42.4566,0,1,0,1,0,0,1,1,0,0,0,0,4917,0,1,70.1699,0,1,0,1,0,0,1,1,0,0,0,0
115,6,477.69,1,F,1,1,9147,0,0,20.5001,0,1,0,1,0,0,1,1,0,0,0,0,17098,0,1,57.4149,0,1,0,1,0,0,1,1,0,0,0,0
116,6,589.894,1,F,1,1,9380,0,0,41.849,0,1,0,1,0,0,1,1,0,0,0,0,15284,0,1,71.8737,0,1,0,1,0,0,1,1,0,0,0,0
117,6,533.517,1,F,1,1,9806,0,0,49.2083,0,1,0,1,0,0,1,1,0,0,0,0,1573,0,1,67.4912,0,1,0,1,0,0,1,1,0,0,0,0
118,6,532.622,1,F,1,1,13593,0,0,74.8812,0,1,0,1,0,0,1,1,0,0,0,0,9803,1,1,16.2232,0,1,0,1,0,0,1,1,0,0,0,0
119,6,774.633,1,F,1,1,15864,0,0,26.0748,0,1,0,1,0,0,1,1,0,0,0,0,17346,0,1,43.79,0,1,0,1,0,0,1,1,0,0,0,0
120,6,465.021,1,F,1,1,16412,0,0,49.5805,0,1,0,1,0,0,1,1,0,0,0,0,10122,0,1,71.4291,0,1,0,1,0,0,1,1,0,0,0,0
121,6,359.829,1,F,1,1,79,0,0,66.1749,0,1,0,1,0,0,1,1,0,0,0,0,4933,1,1,22.5292,0,1,0,1,0,0,1,1,0,0,0,0
122,6,485.8,1,F,1,1,7181,0,0,65.7613,0,1,0,1,0,0,1,1,0,0,0,0,7073,1,1,30.4618,0,1,0,1,0,0,1,1,0,0,0,0
123,6,418.332,1,F,1,1,13690,1,0,33.2382,0,1,0,1,0,0,1,1,0,0,0,0,4676,0,1,62.6884,0,1,0,1,0,0,1,1,0,0,0,0
124,6,542.409,1,F,1,1,1186,0,0,72.7185,0,1,0,1,0,0,1,1,0,0,0,0,13047,0,1,37.0539,0,1,0,1,0,0,1,1,0,0,0,0
125,6,45.73,1,F,1,1,3903,0,0,26.4791,0,1,0,1,0,0,1,1,0,0,0,0,10070,0,1,48.4291,0,1,0,1,0,0,1,1,0,0,0,0
126,6,236.101,1,F,1,1,5608,0,0,69.1861,0,1,0,1,0,0,1,1,0,0,0,0,13264,0,1,23.4439,0,1,0,1,0,0,1,1,0,0,0,0
127,6,286.12,1,F,1,1,6390,0,0,49.8912,0,1,0,1,0,0,1,1,0,0,0,0,11076,0,1,83.2503,0,1,0,1,0,0,1,1,0,0,0,0
128,6,330.933,1,F,1,1,6796,0,0,71.6419,0,1,0,1,0,0,1,1,0,0,0,0,13328,0,1,37.4831,0,1,0,1,0,0,1,1,0,0,0,0
129,6,638.839,1,F,1,1,13267,0,0,82.294,0,1,0,1,0,0,1,1,0,0,0,0,14304,0,1,18.7829,0,1,0,1,0,0,1,1,0,0,0,0
130,6,863.229,1,F,1,1,14812,0,0,67.3533,0,1,0,1,0,0,1,1,0,0,0,0,16538,0,1,28.8597,0,1,0,1,0,0,1,1,0,0,0,0
131,6,509.904,1,F,1,1,16459,0,0,66.8949,0,1,0,1,0,0,1,1,0,0,0,0,17069,0,1,30.7729,0,1,0,1,0,0,1,1,0,0,0,0
132,6,169.37,1,F,1,1,2954,0,0,65.4636,0,1,0,1,0,0,1,1,0,0,0,0,436,0,1,16.2123,0,1,0,1,0,0,1,1,0,0,0,0
133,6,614.975,1,F,1,1,15106,0,0,65.3979,0,1,0,1,0,0,1,1,0,0,0,0,12051,0,1,21.0238,0,1,0,1,0,0,1,1,0,0,0,0
134,13,70.9157,0,F,1,1,8382,0,0,65.9033,0,1,1,0,0,0,1,1,0,0,0,0,183,0,1,26.5484,0,1,1,0,0,0,1,1,0,0,0,0
135,13,23.5453,0,F,1,1,12653,0,0,60.6369,0,1,1,0,0,0,1,1,0,0,0,0,1860,0,1,35.4596,0,1,1,0,0,0,1,1,0,0,0,0
136,13,539.547,0,F,1,1,13518,0,0,60.403,0,1,1,0,0,0,1,1,0,0,0,0,4870,1,1,27.8437,0,1,1,0,0,0,1,1,0,0,0,0
137,13,48.8915,0,F,1,1,16226,0,0,37.3436,0,1,1,0,0,0,1,1,0,0,0,0,2364,0,1,70.1452,0,1,1,0,0,0,1,1,0,0,0,0
138,13,479.484,0,F,1,1,2668,0,0,20.7674,0,1,1,0,0,0,1,1,0,0,0,0,13995,0,1,52.8601,0,1,1,0,0,0,1,1,0,0,0,0
139,13,331.903,0,F,1,1,2902,0,0,39.4521,0,1,1,0,0,0,1,1,0,0,0,0,15681,0,1,64.2369,0,1,1,0,0,0,1,1,0,0,0,0
140,13,219.045,0,F,1,1,3117,0,0,27.1426,0,1,1,0,0,0,1,1,0,0,0,0,3433,0,1,60.2276,0,1,1,0,0,0,1,1,0,0,0,0
141,13,599.205,0,F,1,1,3138,0,0,29.8431,0,1,1,0,0,0,1,1,0,0,0,0,4670,0,1,56.8106,0,1,1,0,0,0,1,1,0,0,0,0
142,13,639.606,0,F,1,1,4113,0,0,37.1714,0,1,1,0,0,0,1,1,0,0,0,0,9601,0,1,72.2729,0,1,1,0,0,0,1,1,0,0,0,0
143,13,423.184,0,F,1,1,6310,0,0,69.5736,0,1,1,0,0,0,1,1,0,0,0,0,7723,0,1,21.8633,0,1,1,0,0,0,1,1,0,0,0,0
144,13,363.759,0,F,1,1,6360,1,0,23.7901,0,1,1,0,0,0,1,1,0,0,0,0,10718,0,1,60.2722,0,1,1,0,0,0,1,1,0,0,0,0
145,13,359.226,0,F,1,1,7360,0,0,58.1977,0,1,1,0,0,0,1,1,0,0,0,0,10171,0,1,32.6525,0,1,1,0,0,0,1,1,0,0,0,0
146,13,168.503,0,F,1,1,7830,0,0,41.6901,0,1,1,0,0,0,1,1,0,0,0,0,13907,0,1,57.4406,0,1,1,0,0,0,1,1,0,0,0,0
147,13,202.228,0,F,1,1,9829,0,0,62.4842,0,1,1,0,0,0,1,1,0,0,0,0,11796,1,1,24.8513,0,1,1,0,0,0,1,1,0,0,0,0
148,13,63.089,0,F,1,1,10072,1,0,23.4127,0,1,1,0,0,0,1,1,0,0,0,0,14899,0,1,61.3967,0,1,1,0,0,0,1,1,0,0,0,0
149,13,1264.36,0,F,1,1,11991,0,0,32.1255,0,1,1,0,0,0,1,1,0,0,0,0,1931,0,1,57.857,0,1,1,0,0,0,1,1,0,0,0,0
150,13,179.483,0,F,1,1,12042,0,0,33.0537,0,1,1,0,0,0,1,1,0,0,0,0,5739,0,1,54.975,0,1,1,0,0,0,1,1,0,0,0,0
151,13,454.759,0,F,1,1,12477,0,0,28.3215,0,1,1,0,0,0,1,1,0,0,0,0,8099,0,1,77.271,0,1,1,0,0,0,1,1,0,0,0,0
152,13,330.891,0,F,1,1,15787,0,0,59.4608,0,1,1,0,0,0,1,1,0,0,0,0,17367,0,1,25.9836,0,1,1,0,0,0,1,1,0,0,0,0
153,13,458.679,0,F,1,1,17055,1,0,32.3408,0,1,1,0,0,0,1,1,0,0,0,0,9492,0,1,61.1723,0,1,1,0,0,0,1,1,0,0,0,0
