Time,NodeID,Alleles,VectorPopulation
0,1,Ad,0
0,1,Aw,8986
0,1,X,8986
0,1,Y,0
1,1,Ad,0
1,1,Aw,8039
1,1,X,8039
1,1,Y,0
2,1,Ad,0
2,1,Aw,7167
2,1,X,7167
2,1,Y,0
3,1,Ad,0
3,1,Aw,6350
3,1,X,6350
3,1,Y,0
4,1,Ad,0
4,1,Aw,5655
4,1,X,5655
4,1,Y,0
5,1,Ad,0
5,1,Aw,5008
5,1,X,5008
5,1,Y,0
6,1,Ad,0
6,1,Aw,4420
6,1,X,4420
6,1,Y,0
7,1,Ad,0
7,1,Aw,3857
7,1,X,3857
7,1,Y,0
8,1,Ad,0
8,1,Aw,3332
8,1,X,3332
8,1,Y,0
9,1,Ad,0
9,1,Aw,2874
9,1,X,2874
9,1,Y,0
10,1,Ad,0
10,1,Aw,2461
10,1,X,2461
10,1,Y,0
11,1,Ad,0
11,1,Aw,2094
11,1,X,2094
11,1,Y,0
12,1,Ad,0
12,1,Aw,1775
12,1,X,1775
12,1,Y,0
13,1,Ad,0
13,1,Aw,1462
13,1,X,1462
13,1,Y,0
14,1,Ad,0
14,1,Aw,1227
14,1,X,1227
14,1,Y,0
15,1,Ad,0
15,1,Aw,1017
15,1,X,1017
15,1,Y,0
16,1,Ad,0
16,1,Aw,854
16,1,X,854
16,1,Y,0
17,1,Ad,0
17,1,Aw,693
17,1,X,693
17,1,Y,0
18,1,Ad,0
18,1,Aw,572
18,1,X,572
18,1,Y,0
19,1,Ad,0
19,1,Aw,468
19,1,X,468
19,1,Y,0
20,1,Ad,0
20,1,Aw,397
20,1,X,397
20,1,Y,0
21,1,Ad,0
21,1,Aw,328
21,1,X,328
21,1,Y,0
22,1,Ad,0
22,1,Aw,35734
22,1,X,35734
22,1,Y,0
23,1,Ad,0
23,1,Aw,65250
23,1,X,65250
23,1,Y,0
24,1,Ad,0
24,1,Aw,87941
24,1,X,87941
24,1,Y,0
25,1,Ad,0
25,1,Aw,79936
25,1,X,79936
25,1,Y,0
26,1,Ad,0
26,1,Aw,74022
26,1,X,74022
26,1,Y,0
27,1,Ad,0
27,1,Aw,68859
27,1,X,68859
27,1,Y,0
28,1,Ad,0
28,1,Aw,63950
28,1,X,63950
28,1,Y,0
29,1,Ad,0
29,1,Aw,58880
29,1,X,58880
29,1,Y,0
30,1,Ad,0
30,1,Aw,54170
30,1,X,54170
30,1,Y,0
31,1,Ad,0
31,1,Aw,49659
31,1,X,49659
31,1,Y,0
32,1,Ad,0
32,1,Aw,45041
32,1,X,45041
32,1,Y,0
33,1,Ad,0
33,1,Aw,40380
33,1,X,40380
33,1,Y,0
34,1,Ad,0
34,1,Aw,36299
34,1,X,36299
34,1,Y,0
35,1,Ad,0
35,1,Aw,32528
35,1,X,32528
35,1,Y,0
36,1,Ad,0
36,1,Aw,28581
36,1,X,28581
36,1,Y,0
37,1,Ad,0
37,1,Aw,25250
37,1,X,25250
37,1,Y,0
38,1,Ad,0
38,1,Aw,22280
38,1,X,22280
